Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Organic Y/M/N,Made in the USA Y/N,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams
Anar Kid,0,1,1,1,-1,2,1,-1,1,-1,1,-1,-1
Anavini</div>,0,1,1,-1,-1,3,0,0,0,0,0,0,0
Ancar,-1,1,1,-1,0,2,1,-1,1,-1,1,-1,-1
Anchovy,0,1,1,-1,-1,3,1,1,-1,-1,-1,-1,-1
And Then There was Jake,-1,1,-1,-1,1,3,0,0,0,0,0,0,0
Andanines (Shoes),1,0,0,0,0,3,0,0,0,0,0,0,0
Andorine,0,1,1,-1,-1,4,1,1,-1,-1,1,-1,-1
ANDREW MARC</div>,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Andy & Evan,0,1,1,-1,-1,2,-1,1,-1,-1,1,-1,-1
Angel Dear</div>,0,1,1,-1,-1,2,1,-1,-1,-1,-1,1,-1
Angela Frost,0,-1,1,-1,1,2,1,1,-1,-1,-1,-1,1
Angels Face,0,-1,1,-1,-1,4,1,1,-1,-1,1,1,1
Angels New York US</div>,0,1,1,-1,-1,3,1,-1,-1,-1,1,-1,-1
angerolux,0,0,0,-1,-1,3,0,0,0,0,0,0,0
Angulus,1,0,0,0,0,3,0,0,0,0,0,0,0
Animal Kids Clothes,0,0,0,0,0,3,0,0,0,0,0,0,0
Anita G,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1
Anive for the Minors,0,1,1,1,-1,2,1,1,1,-1,1,-1,-1
anja schwerbrock treehouse,0,1,1,-1,-1,4,-1,-1,-1,-1,1,1,-1
Anja&#039;s Dream</div>,1,0,0,0,0,3,0,0,0,0,0,0,0
Annafie,0,1,1,-1,-1,3,1,-1,-1,-1,1,-1,-1
Anne Claire Petit,1,0,0,-1,-1,3,0,0,0,0,0,0,0
Anne Kurris,0,1,1,-1,-1,3,1,1,-1,-1,1,-1,-1
Anne Studios,0,0,0,0,0,3,0,0,0,0,0,0,0
Anne Valerie Hash,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Anne Willi,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Annie and Daisy,0,1,1,-1,1,2,1,1,-1,-1,-1,-1,-1
Anniel,1,0,0,0,0,3,0,0,0,0,0,0,0
Another Fox,-1,1,1,-1,-1,2,1,1,-1,1,-1,-1,-1
antebies,0,1,1,1,-1,2,1,1,1,-1,-1,1,-1
Anthem of the ants,0,-1,1,0,-1,4,1,-1,-1,-1,1,-1,-1
Antik Batik,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Antoinette Paris</div>,-1,-1,-1,0,0,3,0,0,0,0,0,0,0
Appaman,0,1,1,-1,-1,2,1,1,-1,-1,1,-1,-1
Apple Park,0,1,1,0,-1,2,-1,-1,1,-1,-1,1,-1
Apres Les Petites</div>,1,0,0,0,0,3,0,0,0,0,0,0,0
Aprils Bloom,0,0,1,1,1,2,1,-1,1,-1,1,-1,-1
apunktchen,0,1,1,-1,-1,3,1,-1,-1,-1,1,-1,-1
Aqua Blu</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Aquarium Kidz,0,1,1,1,-1,3,1,1,1,-1,-1,-1,-1
Arassic,-1,-1,1,0,0,3,0,0,0,0,0,0,0
Arautorap (Shoes),1,0,0,0,0,3,0,0,0,0,0,0,0
Aravore,0,1,1,0,-1,4,1,-1,1,-1,1,-1,-1
Archimede,0,1,1,-1,-1,3,1,-1,-1,-1,-1,-1,1
Area Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Aristocrat Kids,0,-1,1,-1,-1,3,1,-1,-1,-1,1,-1,-1
arkakama,0,1,1,-1,-1,3,1,-1,-1,-1,-1,-1,-1
Armani Junior,0,1,1,-1,-1,3,1,1,-1,-1,1,-1,-1
Armor Lux,0,1,1,-1,-1,3,1,-1,-1,-1,1,1,-1
Art & Eden,0,1,1,1,-1,2,1,1,1,-1,-1,-1,-1
Artie Kids,0,1,1,1,-1,1,1,1,1,-1,-1,1,-1
