Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Organic Y/M/N,Made in the USA Y/N,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams
Cheryl Creations Kids</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Chi Khi,-1,1,1,0,0,3,0,0,0,0,0,0,0
Children of the Tribe,-1,1,1,0,0,3,0,0,0,0,0,0,0
Children's Co.,0,1,1,0,0,3,0,0,0,0,0,0,0
childrenchic,-1,1,1,0,0,3,0,0,0,0,0,0,0
Chipie,-1,-1,1,0,0,3,0,0,0,0,0,0,0
Chloe,-1,1,1,0,0,3,0,0,0,0,0,0,0
Chloe K</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
choco.el,0,0,0,0,0,3,0,0,0,0,0,0,0
chocolatesoup,0,0,0,0,0,3,0,0,0,0,0,0,0
chocolette,0,0,0,0,0,3,0,0,0,0,0,0,0
Chooze Shoes,0,0,0,0,0,3,0,0,0,0,0,0,0
Choupette</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Christie Helene Children's Formal Wear</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Christina Rohde,0,0,0,0,0,3,0,0,0,0,0,0,0
Christine Clarke Fashion Collections</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Chua,0,1,1,-1,-1,3,0,0,0,0,0,0,0
ciao bimba,0,0,0,0,0,3,0,0,0,0,0,0,0
Cienta,0,0,0,0,0,3,0,0,0,0,0,0,0
Cienta</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Cigit Kids,0,1,1,0,-1,3,0,0,0,0,0,0,0
city goats,0,0,0,0,0,3,0,0,0,0,0,0,0
City Threads,0,0,0,0,0,3,0,0,0,0,0,0,0
Civiliants,0,0,0,0,0,3,0,0,0,0,0,0,0
Claesen's,0,0,0,0,0,3,0,0,0,0,0,0,0
Claire & Charlie</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
clarechen,0,0,0,0,0,3,0,0,0,0,0,0,0
CLimbing Trees,0,0,0,0,0,3,0,0,0,0,0,0,0
clo&tilde,0,0,0,0,0,3,0,0,0,0,0,0,0
Clonhadas,0,0,0,0,0,3,0,0,0,0,0,0,0
CME by Marie Chantele,0,0,0,0,0,3,0,0,0,0,0,0,0
Coccoli,0,0,0,0,0,3,0,0,0,0,0,0,0
Coco Blanc,0,0,0,0,0,3,0,0,0,0,0,0,0
Coco Collection,0,1,1,0,-1,3,0,0,0,0,0,0,0
coco moon,0,0,0,0,0,3,0,0,0,0,0,0,0
Cocoa Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Cofucu Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Colette Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Colmar (Outerwear),0,0,0,0,0,3,0,0,0,0,0,0,0
Colored Organics,0,0,0,0,0,3,0,0,0,0,0,0,0
Colorfly</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Company,0,0,0,0,0,3,0,0,0,0,0,0,0
Complot Mini,0,0,0,0,0,3,0,0,0,0,0,0,0
concocon,0,0,0,0,0,3,0,0,0,0,0,0,0
Condor</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Confetti &Friends,0,0,0,0,0,3,0,0,0,0,0,0,0
Confetti and Friends,0,0,0,0,0,3,0,0,0,0,0,0,0
Conguitos,0,-1,1,0,-1,3,0,0,0,0,0,0,0
Conifere,0,0,0,0,0,3,0,0,0,0,0,0,0
ConRad Basics</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Consulate General of Brazil</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Converse,0,0,0,0,0,3,0,0,0,0,0,0,0
Coobie Baby,0,1,1,0,-1,3,0,0,0,0,0,0,0
Copper Pearl,0,0,0,0,0,3,0,0,0,0,0,0,0
Copper Pearl</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Coquelicot,0,0,0,0,0,3,0,0,0,0,0,0,0
Corby TIndersticks,0,0,0,0,0,3,0,0,0,0,0,0,0
Coton PomPom</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
CPC Childrenswear</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Craghoppers,0,0,0,0,0,3,0,0,0,0,0,0,0
Creamie,0,0,0,0,0,3,0,0,0,0,0,0,0
crème chantilly,0,0,0,0,0,3,0,0,0,0,0,0,0
Crew and Lu,0,0,0,0,0,3,0,0,0,0,0,0,0
Crewcuts,0,0,0,0,0,3,0,0,0,0,0,0,0
crewkids ny,0,0,0,0,0,3,0,0,0,0,0,0,0
Cruz Kids</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
CTH Mini,0,0,0,0,0,3,0,0,0,0,0,0,0
CU Lights,0,0,0,0,0,3,0,0,0,0,0,0,0
Cucile Baby,0,1,1,0,-1,3,0,0,0,0,0,0,0
Cupcakes and Pastries,0,0,0,0,0,3,0,0,0,0,0,0,0
Curious Wonderland,0,0,0,0,0,3,0,0,0,0,0,0,0
"Curly Girls, Inc.</div>",0,0,0,0,0,3,0,0,0,0,0,0,0
curumi,0,0,0,0,0,3,0,0,0,0,0,0,0
Cyber Jammies,0,0,0,0,0,3,0,0,0,0,0,0,0
Cyrillus,0,0,0,0,0,3,0,0,0,0,0,0,0
Czesiociuch,0,0,0,0,0,3,0,0,0,0,0,0,0
D.fesense,0,0,0,0,0,3,0,0,0,0,0,0,0
Dabbawalla Bags,0,0,0,0,0,3,0,0,0,0,0,0,0
Dagmar Daley,0,0,0,0,0,3,0,0,0,0,0,0,0
Daisy & Blu</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Dani,0,0,0,0,0,3,0,0,0,0,0,0,0
Dandy Star,0,0,0,0,0,3,0,0,0,0,0,0,0
Danefae,0,0,0,0,0,3,0,0,0,0,0,0,0
Darcy Brown,0,0,0,0,0,3,0,0,0,0,0,0,0
David Charles Childrenswear,0,0,0,0,0,3,0,0,0,0,0,0,0
David Oliver</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
dbb ideas,0,0,0,0,0,3,0,0,0,0,0,0,0
De Nachos,0,0,0,0,0,3,0,0,0,0,0,0,0
Debenhams,0,0,0,0,0,3,0,0,0,0,0,0,0
december made,0,0,0,0,0,3,0,0,0,0,0,0,0
decorate,0,0,0,0,0,3,0,0,0,0,0,0,0
Dehry Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
delieb,0,0,0,0,0,3,0,0,0,0,0,0,0
Delta June Designs</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Dennise Marie Showroom</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Design History</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Designer Kidz Melbourne</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Desigual,0,0,0,0,0,3,0,0,0,0,0,0,0
Details,0,0,0,0,0,3,0,0,0,0,0,0,0
Deux pa Deux,0,0,0,0,0,3,0,0,0,0,0,0,0
devon’s drawer,0,0,0,0,0,3,0,0,0,0,0,0,0
Diadora,0,0,0,0,0,3,0,0,0,0,0,0,0
Diapers and Milk,0,0,0,0,0,3,0,0,0,0,0,0,0
Didriksons,0,0,0,0,0,3,0,0,0,0,0,0,0
Diesel Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Dijjie,0,0,0,0,0,3,0,0,0,0,0,0,0
DiLascia,0,0,0,0,0,3,0,0,0,0,0,0,0
Dimensione Danza,0,0,0,0,0,3,0,0,0,0,0,0,0
Dinui,0,0,0,0,0,3,0,0,0,0,0,0,0
Disney by Tutu Couture</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
DKNY,0,0,0,0,0,3,0,0,0,0,0,0,0
DL1961 Premium Denim,0,0,0,0,0,3,0,0,0,0,0,0,0
Doe a Dear,0,0,0,0,0,3,0,0,0,0,0,0,0
Dogwood,0,0,0,0,0,3,0,0,0,0,0,0,0
Dolce and Gabbana Jr,0,0,0,0,0,3,0,0,0,0,0,0,0
Dolce Goccia,0,0,0,0,0,3,0,0,0,0,0,0,0
Dolls and Divas Couture</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Dolly by Le Petit Tom,0,0,0,0,0,3,0,0,0,0,0,0,0
Dondolo</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Dondup,0,0,0,0,0,3,0,0,0,0,0,0,0
Donsje,0,0,0,0,0,3,0,0,0,0,0,0,0
dooboo,0,0,0,0,0,3,0,0,0,0,0,0,0
doodle do,0,0,0,0,0,3,0,0,0,0,0,0,0
Dori Creations,0,0,0,0,0,3,0,0,0,0,0,0,0
Dorian Gray,0,0,0,0,0,3,0,0,0,0,0,0,0
Dorissa Girl</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Dot & Line</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
DOT Baby,0,1,1,0,0,3,0,0,0,0,0,0,0
dott child,0,0,0,0,0,3,0,0,0,0,0,0,0
Dotty Dungarees,0,1,1,0,-1,3,0,0,0,0,0,0,0
Douglas Company</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Douuod,0,0,0,0,0,3,0,0,0,0,0,0,0
Dr. Kid,0,1,1,-1,-1,3,0,0,0,0,0,0,0
Dreamers,0,0,0,0,0,3,0,0,0,0,0,0,0
Dress Like Flo,0,0,0,0,0,3,0,0,0,0,0,0,0
dribble,0,0,0,0,0,3,0,0,0,0,0,0,0
Dsquared,0,0,0,0,0,3,0,0,0,0,0,0,0
Du Pareil au meme,0,0,0,0,0,3,0,0,0,0,0,0,0
DUNS Sweden,0,0,0,0,0,3,0,0,0,0,0,0,0
Duo Showroom</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
dyo ministyling,0,0,0,0,0,3,0,0,0,0,0,0,0
e & t,0,0,0,0,0,3,0,0,0,0,0,0,0
E Land,0,0,0,0,0,3,0,0,0,0,0,0,0
EAN 13,0,0,0,0,0,3,0,0,0,0,0,0,0
Earlydays,0,0,0,0,0,3,0,0,0,0,0,0,0
EAST END HIGHLANDERS,0,0,0,0,0,3,0,0,0,0,0,0,0
Easy Peasy,0,0,0,0,0,3,0,0,0,0,0,0,0
Ebbe Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Eddie Pen,0,0,0,0,0,3,0,0,0,0,0,0,0
Eddy & Scout,0,0,0,0,0,3,0,0,0,0,0,0,0
eeni meeni miini moh,0,0,0,0,0,3,0,0,0,0,0,0,0
EFL Kids</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
EFVVA,0,0,0,0,0,3,0,0,0,0,0,0,0
Egg by Susan Lazar,0,0,0,0,0,3,0,0,0,0,0,0,0
El Taller de la Abuela,0,1,1,-1,-1,3,0,0,0,0,0,0,0
Electrik Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Elegant Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Elephantito,0,0,0,0,0,3,0,0,0,0,0,0,0
Elfie ,0,0,0,0,0,3,0,0,0,0,0,0,0
Elisa B</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Elizabeth Cate,0,0,0,0,0,3,0,0,0,0,0,0,0
Elizabeth Hurley Beach</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Ella and Otto,0,0,0,0,0,3,0,0,0,0,0,0,0
Ella Moss Girls,0,0,0,0,0,3,0,0,0,0,0,0,0
Elodie,0,0,0,0,0,3,0,0,0,0,0,0,0
Elodie and Elvis,0,0,0,0,0,3,0,0,0,0,0,0,0
Elodie Details</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Elonka Nichole,0,0,0,0,0,3,0,0,0,0,0,0,0
elsy,0,0,0,0,0,3,0,0,0,0,0,0,0
EMC</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Emile et Ida,0,0,0,0,0,3,0,0,0,0,0,0,0
Emile et Rose,0,0,0,0,0,3,0,0,0,0,0,0,0
Emma Levine,0,0,0,0,0,3,0,0,0,0,0,0,0
"EMMA OCH MALENA
",0,0,0,0,0,3,0,0,0,0,0,0,0
Emu Australia,0,0,0,0,0,3,0,0,0,0,0,0,0
En Fant,0,0,0,0,0,3,0,0,0,0,0,0,0
Enchanted Enfant,0,0,0,0,0,3,0,0,0,0,0,0,0
Enerfie Jeans,0,0,0,0,0,3,0,0,0,0,0,0,0
eNV Denim,0,0,0,0,0,3,0,0,0,0,0,0,0
Erge</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
ErgoPouch,0,0,0,0,0,3,0,0,0,0,0,0,0
es +es,0,0,0,0,0,3,0,0,0,0,0,0,0
Esme Clothing for Girls & Boys (PJS),0,0,0,0,0,3,0,0,0,0,0,0,0
"essence, olive",0,0,0,0,0,3,0,0,0,0,0,0,0
Estella,0,0,0,0,0,3,0,0,0,0,0,0,0
Eternal Creation,0,0,0,0,0,3,0,0,0,0,0,0,0
Etiket (SAME as GOLD),0,0,0,0,0,3,0,0,0,0,0,0,0
ette tete ,0,0,0,0,0,3,0,0,0,0,0,0,0
Euroclub Collection,0,0,0,0,0,3,0,0,0,0,0,0,0
Eva Koshka Paris,0,0,0,0,0,3,0,0,0,0,0,0,0
eve jnr,0,0,0,0,0,3,0,0,0,0,0,0,0
everbloom,0,0,0,0,0,3,0,0,0,0,0,0,0
Evisu Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Ewers (Socks),0,0,0,0,0,3,0,0,0,0,0,0,0
eyeSpy Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
f.o.u,0,0,0,0,0,3,0,0,0,0,0,0,0
Fabric Flavours,0,0,0,0,0,3,0,0,0,0,0,0,0
Falc USA (Shoes),0,0,0,0,0,3,0,0,0,0,0,0,0
FALCOTTO ,0,0,0,0,0,3,0,0,0,0,0,0,0
fanny & alexander (Toys),0,0,0,0,0,3,0,0,0,0,0,0,0
far east localmade (Socks),0,0,0,0,0,3,0,0,0,0,0,0,0
Fashion Angels</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
FASHION COMICS,0,0,0,0,0,3,0,0,0,0,0,0,0
fasyua,0,0,0,0,0,3,0,0,0,0,0,0,0
Fay Jr,0,0,0,0,0,3,0,0,0,0,0,0,0
Fctry (Acessories),0,0,0,0,0,3,0,0,0,0,0,0,0
Feather Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Feather Drum,0,0,0,0,0,3,0,0,0,0,0,0,0
Feather4Arrow,0,0,0,0,0,3,0,0,0,0,0,0,0
Febs Italy</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Feiyue (shoes),0,0,0,0,0,3,0,0,0,0,0,0,0
Feltman Brothers,0,0,0,0,0,3,0,0,0,0,0,0,0
Fendi Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Ferrari Junior,0,0,0,0,0,3,0,0,0,0,0,0,0
Figis,0,1,1,-1,-1,3,0,0,0,0,0,0,0
Filemon Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Fin and Vince,0,0,0,0,0,3,0,0,0,0,0,0,0
Finger in the Nose,0,0,0,0,0,3,0,0,0,0,0,0,0
Finn and Emma,0,0,0,0,0,3,0,0,0,0,0,0,0
Fiorucci,0,0,0,0,0,3,0,0,0,0,0,0,0
Firehouse</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
FIRSTS BY PETIT LEM</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Fish & Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Five Karats</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Five Loaves & Two Fishes,0,0,0,0,0,3,0,0,0,0,0,0,0
Flap Doodles,0,0,0,0,0,3,0,0,0,0,0,0,0
Flap Happy (Acessories),0,0,0,0,0,3,0,0,0,0,0,0,0
Floatmini,0,0,0,0,0,3,0,0,0,0,0,0,0
Florence Eiseman,0,0,0,0,0,3,0,0,0,0,0,0,0
Florence Fancy,0,0,0,0,0,3,0,0,0,0,0,0,0
Floriane,0,0,0,0,0,3,0,0,0,0,0,0,0
Flow Society,0,0,0,0,0,3,0,0,0,0,0,0,0
Flowers by Zoe,0,0,0,0,0,3,0,0,0,0,0,0,0
Flying Colors Baby (3rd Party retail),0,0,0,0,0,3,0,0,0,0,0,0,0
folk made,0,0,0,0,0,3,0,0,0,0,0,0,0
For All Seasons (3rd Party/Outwerwear),0,0,0,0,0,3,0,0,0,0,0,0,0
Fore Axel & Hudson,0,0,0,0,0,3,0,0,0,0,0,0,0
Fouger For Kids</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Fournier (Dolls),0,0,0,0,0,3,0,0,0,0,0,0,0
fov,0,0,0,0,0,3,0,0,0,0,0,0,0
Fox Kids Racing,0,0,0,0,0,3,0,0,0,0,0,0,0
framin (houseware product),0,0,0,0,0,3,0,0,0,0,0,0,0
Francoise Lama Solet,0,0,0,0,0,3,0,0,0,0,0,0,0
Frankie & Sue</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Frankie Morello,0,0,0,0,0,3,0,0,0,0,0,0,0
Franklin and Marshall,0,0,0,0,0,3,0,0,0,0,0,0,0
Frankygrow,0,0,0,0,0,3,0,0,0,0,0,0,0
Fraze</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Fred Perry,0,0,0,0,0,3,0,0,0,0,0,0,0
Fred's World by Green Cotton,0,1,1,0,0,3,0,0,0,0,0,0,0
Freedom Kids (3rd Party site),0,0,0,0,0,3,0,0,0,0,0,0,0
French Connection Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Frenchie Mini Couture</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Frenchy Yummy</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Freshly Picked,0,0,0,0,0,3,0,0,0,0,0,0,0
Freya Lillie,0,1,1,1,-1,3,0,0,0,0,0,0,0
Frilo Swissmade,0,0,0,0,0,3,0,0,0,0,0,0,0
FRNKY's,0,0,0,0,0,3,0,0,0,0,0,0,0
Frocks London,0,0,0,0,0,3,0,0,0,0,0,0,0
Froddo (Shoes),1,0,0,0,0,3,0,0,0,0,0,0,0
from anchovy,0,0,0,0,0,3,0,0,0,0,0,0,0
From Baby w/ Love,0,0,0,0,0,3,0,0,0,0,0,0,0
Frou Frou,0,0,0,0,0,3,0,0,0,0,0,0,0
Frugi,0,0,0,0,0,3,0,0,0,0,0,0,0
FRYE KIDS</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
FUB,0,1,1,0,-1,3,0,0,0,0,0,0,0
Fun Strike,0,0,0,0,0,3,0,0,0,0,0,0,0
Fun&Fun,0,0,0,0,0,3,0,0,0,0,0,0,0
Funkoos,0,0,0,0,0,3,0,0,0,0,0,0,0
Funky Fitz,0,-1,1,0,0,3,0,0,0,0,0,0,0
Funtasia Too</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
g.h.hurt & son (accessories),0,0,0,0,0,3,0,0,0,0,0,0,0
G.KERO,0,0,0,0,0,3,0,0,0,0,0,0,0
Gabriel Et Valentin,0,0,0,0,0,3,0,0,0,0,0,0,0
Galluci Shoes (SHoes),0,0,0,0,0,3,0,0,0,0,0,0,0
Gant/Pyramid Sportswear,0,0,0,0,0,3,0,0,0,0,0,0,0
Gardner and the Gang,0,0,0,0,0,3,0,0,0,0,0,0,0
Garvalin,0,0,0,0,0,3,0,0,0,0,0,0,0
Geggamoja,0,0,0,0,0,3,0,0,0,0,0,0,0
Geo Fox Apparel (Out of Business ,0,0,0,0,0,3,0,0,0,0,0,0,0
Geoffrey Beene by American Exchange Apparel</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Geox Kids (Shoes),0,0,0,0,0,3,0,0,0,0,0,0,0
GF Ferre,0,0,0,0,0,3,0,0,0,0,0,0,0
Giggle (Out of Business?),0,0,0,0,0,3,0,0,0,0,0,0,0
Giggle Moon Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Gigi & Co,0,0,0,0,0,3,0,0,0,0,0,0,0
Gigi Ri</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Girl Junk</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Girls Will Be,0,0,0,0,0,3,0,0,0,0,0,0,0
Gita Accessories</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Giuseppe Junior,0,0,0,0,0,3,0,0,0,0,0,0,0
Givenchy Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Gloverall (Jackets),0,0,0,0,0,3,0,0,0,0,0,0,0
Gnu Brand Boy</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Go Baby Go,0,0,0,0,0,3,0,0,0,0,0,0,0
Go Gently Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Go Soaky (Rainwear),1,0,0,0,0,3,0,0,0,0,0,0,0
Goat-Milk,0,0,0,0,0,3,0,0,0,0,0,0,0
godsend,0,0,0,0,0,3,0,0,0,0,0,0,0
Goganga,0,0,0,0,0,3,0,0,0,0,0,0,0
Gold,0,0,0,0,0,3,0,0,0,0,0,0,0
Googoo & Gaga,0,0,0,0,0,3,0,0,0,0,0,0,0
Gossip Girl/Hula Star</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Grace Baby And Child,0,0,0,0,0,3,0,0,0,0,0,0,0
Graci (Formal),0,0,0,0,0,3,0,0,0,0,0,0,0
Grant Garcos,0,0,0,0,0,3,0,0,0,0,0,0,0
Grass and Air (Outerwear),0,0,0,0,0,3,0,0,0,0,0,0,0
Gray Label ,0,0,0,0,0,3,0,0,0,0,0,0,0
Green Bean,0,0,0,0,0,3,0,0,0,0,0,0,0
Grey and Ray,0,0,0,0,0,3,0,0,0,0,0,0,0
gris (Out of Business),0,0,0,0,0,3,0,0,0,0,0,0,0
Grisino,0,0,0,0,0,3,0,0,0,0,0,0,0
Gro,0,0,0,0,0,3,0,0,0,0,0,0,0
Grubbies Denim,0,0,0,0,0,3,0,0,0,0,0,0,0
Guadalupe Design</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Guess,0,0,0,0,0,3,0,0,0,0,0,0,0
Gugguu,0,0,0,0,0,3,0,0,0,0,0,0,0
Gymp,0,0,0,0,0,3,0,0,0,0,0,0,0
Hackett London,0,0,0,0,0,3,0,0,0,0,0,0,0
hailey,0,0,0,0,0,3,0,0,0,0,0,0,0
Halabaloo,0,0,0,0,0,3,0,0,0,0,0,0,0
Halo Luxe,0,0,0,0,0,3,0,0,0,0,0,0,0
Halsey Kate</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Hampton Mermaid Company</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Handsome in Pink,0,0,0,0,0,3,0,0,0,0,0,0,0
Hanna Andersson,0,0,0,0,0,3,0,0,0,0,0,0,0
Hannah Banana,0,0,0,0,0,3,0,0,0,0,0,0,0
Happinz</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Happy Calegi,0,0,0,0,0,3,0,0,0,0,0,0,0
harlow jade,0,0,0,0,0,3,0,0,0,0,0,0,0
Harpa's Nest,0,0,0,0,0,3,0,0,0,0,0,0,0
Harper Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Hart Schaffner Marx</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Hartford,0,0,0,0,0,3,0,0,0,0,0,0,0
Hartstrings (Out of Business?),0,0,0,0,0,3,0,0,0,0,0,0,0
hat mustache ribbon,0,0,0,0,0,3,0,0,0,0,0,0,0
Hatch Showroom,1,0,0,0,0,3,0,0,0,0,0,0,0
Hatley,0,0,0,0,0,3,0,0,0,0,0,0,0
Haus of JR,0,0,0,0,0,3,0,0,0,0,0,0,0
Havianas ,0,0,0,0,0,3,0,0,0,0,0,0,0
Havoc and Denim,0,0,0,0,0,3,0,0,0,0,0,0,0
Hayden Los Angelas,0,0,0,0,0,3,0,0,0,0,0,0,0
HBB Industria Argentina,0,0,0,0,0,3,0,0,0,0,0,0,0
He and Her Label,0,0,0,0,0,3,0,0,0,0,0,0,0
Heart Me Jewelry</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
hebe,0,0,0,0,0,3,0,0,0,0,0,0,0
HEELYS</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
HEIDI KLEIN KIDS,0,0,0,0,0,3,0,0,0,0,0,0,0
heir kid,0,0,0,0,0,3,0,0,0,0,0,0,0
Helen Gordon,0,0,0,0,0,3,0,0,0,0,0,0,0
Hello Simone ,0,0,0,0,0,3,0,0,0,0,0,0,0
Helly Hansen,1,0,0,0,0,3,0,0,0,0,0,0,0
HENNY AND COCO</div>,1,0,0,0,0,3,0,0,0,0,0,0,0
Herno (Outerwear),1,0,0,0,0,3,0,0,0,0,0,0,0
Hickey by Hickey Freeman (Formal),0,0,0,0,0,3,0,0,0,0,0,0,0
Hide N Seek</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
HiFuture,0,0,0,0,0,3,0,0,0,0,0,0,0
hilda.henri,0,0,0,0,0,3,0,0,0,0,0,0,0
Hilly Chrisp,0,0,0,0,0,3,0,0,0,0,0,0,0
Hippie Ya,0,0,0,0,0,3,0,0,0,0,0,0,0
Hitchhiker ,0,0,0,0,0,3,0,0,0,0,0,0,0
hively,0,0,0,0,0,3,0,0,0,0,0,0,0
Hogans Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Holicow Kids</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Holly & Beau (Outerwear),0,0,0,0,0,3,0,0,0,0,0,0,0
Holly Hastie (Formal),0,0,0,0,0,3,0,0,0,0,0,0,0
Hollyworld Apparel Group</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Hollyz,0,0,0,0,0,3,0,0,0,0,0,0,0
Honigman Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Hoonana,0,0,0,0,0,3,0,0,0,0,0,0,0
Hopsan,0,0,0,0,0,3,0,0,0,0,0,0,0
House of Jamie,0,0,0,0,0,3,0,0,0,0,0,0,0
HOW TO KISS A FROG,0,0,0,0,0,3,0,0,0,0,0,0,0
HUCKLEBONES,0,0,0,0,0,3,0,0,0,0,0,0,0
Hudson Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Huggee,0,0,0,0,0,3,0,0,0,0,0,0,0
Hugo Boss Kidswear,0,0,0,0,0,3,0,0,0,0,0,0,0
Hugo Loves Tiki,0,0,0,0,0,3,0,0,0,0,0,0,0
Hummel,0,0,0,0,0,3,0,0,0,0,0,0,0
Hundred Pieces,0,0,0,0,0,3,0,0,0,0,0,0,0
Hunter and Rose,0,0,0,0,0,3,0,0,0,0,0,0,0
Hurley Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Hust and Claire,0,0,0,0,0,3,0,0,0,0,0,0,0
Huxbaby,0,0,0,0,0,3,0,0,0,0,0,0,0
I dig denim,0,0,0,0,0,3,0,0,0,0,0,0,0
I Haven't the Foggiest,0,0,0,0,0,3,0,0,0,0,0,0,0
I Pinco Pallino,0,0,0,0,0,3,0,0,0,0,0,0,0
I Talk Too Much,0,0,0,0,0,3,0,0,0,0,0,0,0
Ice Cream Castles,0,0,0,0,0,3,0,0,0,0,0,0,0
Ice Iceberg Junior,0,0,0,0,0,3,0,0,0,0,0,0,0
Ida T(Out of Business?),0,0,0,0,0,3,0,0,0,0,0,0,0
Idol Mind</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Iglo + Indi,0,0,0,0,0,3,0,0,0,0,0,0,0
Igloo Island,0,0,0,0,0,3,0,0,0,0,0,0,0
Igor,0,0,0,0,0,3,0,0,0,0,0,0,0
IKKS (Koast),0,0,0,0,0,3,0,0,0,0,0,0,0
ikuji-kobo,0,0,0,0,0,3,0,0,0,0,0,0,0
Il Gufo,0,0,0,0,0,3,0,0,0,0,0,0,0
Ilene Oren Company,0,0,0,0,0,3,0,0,0,0,0,0,0
